Field_	Motor_	Timestamp_	Sample1_X_	Sample1_Y_	Sample2_X_	Sample2_Y_	Sample_T_
3.499978394E+1	0.000000000E+0	7.138859513E+0	9.649241692E-4	1.569318236E-3	1.517852652E-3	1.862998703E-3	1.755700000E+0
3.499978394E+1	0.000000000E+0	7.173111442E+0	9.650836582E-4	1.568781561E-3	1.518000965E-3	1.863132813E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	7.209113444E+0	9.652982699E-4	1.568217645E-3	1.518196310E-3	1.863276819E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	7.251132067E+0	9.655589238E-4	1.567733707E-3	1.518418197E-3	1.863451092E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	7.302842515E+0	9.659039206E-4	1.567364787E-3	1.518720179E-3	1.863688463E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	7.340608596E+0	9.661911754E-4	1.567256753E-3	1.518961624E-3	1.863883808E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	7.376834060E+0	9.664393729E-4	1.567295054E-3	1.519230427E-3	1.864080667E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	7.421456780E+0	9.668618441E-4	1.567630912E-3	1.519602258E-3	1.864301506E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	7.467059268E+0	9.671415901E-4	1.568048727E-3	1.519879908E-3	1.864432008E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	7.514318429E+0	9.674673202E-4	1.568763982E-3	1.520203426E-3	1.864545280E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	7.550633702E+0	9.677276830E-4	1.569561311E-3	1.520487829E-3	1.864638994E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	7.602333992E+0	9.680061485E-4	1.570761437E-3	1.520858495E-3	1.864749938E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	7.639286885E+0	9.681766969E-4	1.571837813E-3	1.521150232E-3	1.864865422E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	7.682229411E+0	9.683006210E-4	1.573088579E-3	1.521426952E-3	1.865022583E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	7.728410473E+0	9.683550452E-4	1.574639464E-3	1.521715545E-3	1.865313621E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	7.765952182E+0	9.683171520E-4	1.575944247E-3	1.521890401E-3	1.865662751E-3	1.755700000E+0
3.499978394E+1	0.000000000E+0	7.812926082E+0	9.681593510E-4	1.577544492E-3	1.522032544E-3	1.866213628E-3	1.755700000E+0
